label,starting_capital,ending_capital,ann_return,ann_volatility,sharpe_ratio,sortino_ratio,max_drawdown,profit_to_drawdown
13F Copycat,"$10,000.00","$10,834.37",6.37%,21.04%,0.40,0.64,-21.88%,0.29
SPY,"$10,000.00","$12,638.75",14.45%,16.03%,0.92,1.43,-16.68%,0.87
