,date,quarter,trade_date,holding_period,tickers,portfolio_value,daily_return,cum_return,quarter_return
10,2022-08-30,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8977.231748061851,-0.008153223852635838,-0.10227682519381487,-0.13927237986455898
11,2022-08-31,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8847.280118889477,-0.014475690593643176,-0.11527198811105221,-0.13927237986455898
12,2022-09-01,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8772.729437201115,-0.008426395534735343,-0.12272705627988856,-0.13927237986455898
13,2022-09-02,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8688.062385458688,-0.009651164138653634,-0.1311937614541312,-0.13927237986455898
14,2022-09-06,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8700.340931591982,0.0014132663404724521,-0.12996590684080178,-0.13927237986455898
15,2022-09-07,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8871.537665728047,0.0196770144391043,-0.11284623342719535,-0.13927237986455898
16,2022-09-08,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8957.619221799085,0.00970311566207771,-0.10423807782009153,-0.13927237986455898
17,2022-09-09,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",9121.004480129897,0.018239808400562607,-0.08789955198701027,-0.13927237986455898
18,2022-09-12,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",9229.352449011816,0.011878951393780701,-0.07706475509881838,-0.13927237986455898
19,2022-09-13,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8808.040558590004,-0.04564912790462583,-0.11919594414099954,-0.13927237986455898
20,2022-09-14,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8828.518545476054,0.002324919685579685,-0.1171481454523946,-0.13927237986455898
21,2022-09-15,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8682.236974392481,-0.016569209242759175,-0.1317763025607519,-0.13927237986455898
22,2022-09-16,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8579.14790792196,-0.01187356055525468,-0.14208520920780388,-0.13927237986455898
